cert,rssd,asset
628,1039502,2690959000
3510,1073757,2031940000
3511,1120754,1763696000
7213,1951350,1632405000
6548,1119794,533129091
9846,1074156,495079000
6384,1069778,433803038
639,3587146,387037000
14,1111435,359196000
18409,1238565,355767822
4297,2277860,339215513
57450,1026632,270245000
33124,2380443,254668000
57890,1857108,201885682
6672,1070345,183723698
32992,2162966,178664000
57957,1132449,176632580
57803,1562859,170655000
913,1199611,161163529
17534,1068025,154993507
16571,1231333,145168865
22826,2961897,135037826
12368,3242838,132707000
27471,1275216,130004248
588,1037003,124147394
59017,,123914929
33954,2277860,116771620
6560,1068191,113764077
5649,3846375,111140060
34221,2162966,106390000
3514,1231968,101371778
32188,1447376,95337627
19048,1391237,93019813
29950,1239254,87569232
27314,4504654,85811000
57565,4795461,77464036
983,1199844,76262000
24735,1031449,73632403
2270,,71466849
17281,1232497,65954900
27334,3650152,60206875
16022,2132932,54237201
57053,,53074716
58978,1036967,52993207
873,1078846,50521947
30746,3412583,50294236
28330,1201934,48562805
4977,1094640,47026241
4214,1883693,46955256
31628,2734233,45939280
33653,,44816790
34775,3792687,42372395
34968,1129382,42267000
623,1242423,41537000
11063,1075612,41376966
9396,1048773,39109234
34383,2706735,35847732
33306,1231342,35548454
7888,3005332,35014804
5510,1102367,34248863
5296,1199563,33859027
33893,3815157,33656415
58979,4028712,33512179
57203,1231418,33430000
28100,2291914,32147468
58177,,31775269
12441,1086533,31745664
16835,1109599,31743822
18221,1145476,31658041
7946,3587146,31061000
30337,3083291,30259156
57512,2349815,29191398
35583,2925657,29127406
17266,2747644,27511387
33947,1238565,27041547
32541,4224000,26767684
24998,1049341,26699996
28892,2477754,26670068
8273,1049828,26151097
24045,2875332,26100442
27389,1120754,25855421
110,,24565810
4063,3839096,24197472
7551,1117129,22780649
33497,1026632,22375000
5452,1066209,22265188
11813,,21045439
3890,1094828,20796354
17985,1025608,20756219
3832,1098303,20647430
8728,1095674,20503724
22858,1076217,20352651
18714,1060627,20199282
25178,1073757,18802000
3709,1208184,18739245
33555,2868129,18590797
18053,1025309,18513208
18503,1843080,18264870
20504,1082067,18126488
34589,1971693,17802213
28088,3065617,17372259
4999,4882802,17233498
1768,4759650,17041081
13425,1133437,16638533
34617,3840207,16251141
20234,2833891,16241158
26610,2961879,16020313
803,1070448,15964561
16068,3446412,15600860
3076,3140288,15568677
11241,1491409,15500274
30788,2003975,15147427
