charter,findrsLender,cert,Lender,match
708059,Abacus Federal Savings Bank,32257,Abacus Federal Savings Bank,TRUE
15592,"Academy Bank, National Association",19600,"Academy Bank, National Association",TRUE
25154,"Affiliated Bank, National Association",34885,"Affiliated Bank, National Association",TRUE
13790,"Alerus Financial, National Association",3931,"Alerus Financial, National Association",TRUE
14206,Amarillo National Bank,14531,Amarillo National Bank,TRUE
16804,"Amerant Bank, National Association",22953,"Amerant Bank, National Association",TRUE
24369,"American Bank and Trust Company, National Association",34955,"American Bank and Trust Company, National Association",TRUE
24456,"American Commerce Bank, National Association",57686,"American Commerce Bank, National Association",TRUE
25151,American Express National Bank,27471,American Express National Bank,TRUE
702983,American Federal Bank,29140,American Federal Bank,TRUE
23521,American First National Bank,34656,American First National Bank,TRUE
15037,American Heritage National Bank,8843,American Heritage National Bank,TRUE
16617,American National Bank & Trust,22373,American National Bank & Trust,TRUE
9343,American National Bank and Trust Company,6837,American National Bank and Trust Company,TRUE
24219,American National Bank of Minnesota,26499,American National Bank of Minnesota,TRUE
24716,"American Plus Bank, National Association",58469,"American Plus Bank, National Association",TRUE
708384,"American Savings Bank, FSB",32526,"American Savings Bank, FSB",TRUE
24182,AMG National Trust Bank,57295,AMG National Trust Bank,TRUE
16625,Anahuac National Bank,22381,Anahuac National Bank,TRUE
5525,Anna-Jonesboro National Bank,3759,Anna-Jonesboro National Bank,TRUE
703874,Anthem Bank & Trust,29679,Anthem Bank & Trust,TRUE
702349,Arundel Federal Savings Bank,28780,Arundel Federal Savings Bank,TRUE
23695,"Associated Bank, National Association",5296,"Associated Bank, National Association",TRUE
24425,"Atlantic Capital Bank, National Association",35525,"Atlantic Capital Bank, National Association",TRUE
701305,"Auburn Savings Bank, FSB",28288,"Auburn Savings Bank, FSB",TRUE
5581,"Austin Bank, Texas National Association",3276,"Austin Bank, Texas National Association",TRUE
25139,"Axiom Bank, National Association",31390,"Axiom Bank, National Association",TRUE
716456,Axos Bank,35546,Axos Bank,TRUE
3956,Baker Boyer National Bank,2987,Baker Boyer National Bank,TRUE
1253,Ballston Spa National Bank,6959,Ballston Spa National Bank,TRUE
25080,"Banc of California, National Association",35498,"Banc of California, National Association",TRUE
12152,"BancCentral, National Association",4033,"BancCentral, National Association",TRUE
702889,Bank 34,29087,Bank 34,TRUE
13044,"Bank of America, National Association",3510,"Bank of America, National Association",TRUE
10844,"Bank of Bridger, National Association",2224,"Bank of Bridger, National Association",TRUE
16976,"Bank of Brookfield-Purdin, National Association",9385,"Bank of Brookfield-Purdin, National Association",TRUE
14510,"Bank of Hillsboro, National Association",16276,"Bank of Hillsboro, National Association",TRUE
4865,"Bank of Houston, National Association",3178,"Bank of Houston, National Association",TRUE
24100,"Bank of Southern California, National Association",57044,"Bank of Southern California, National Association",TRUE
17548,"Bank of Whittier, National Association",24211,"Bank of Whittier, National Association",TRUE
16643,"BankChampaign, National Association",22434,"BankChampaign, National Association",TRUE
25140,"BankFinancial, National Association",28808,"BankFinancial, National Association",TRUE
25028,"BankUnited, National Association",58979,"BankUnited, National Association",TRUE
