cert,rssd,asset,charter,findrsLender,Lender,asset_cat
32257,NA,346061,708059,Abacus Federal Savings Bank,Abacus Federal Savings Bank,Less than $1bn
19600,2107707,2163530,15592,"Academy Bank, National Association","Academy Bank, National Association",$1bn - 2.49bn
34885,5189450,1009419,25154,"Affiliated Bank, National Association","Affiliated Bank, National Association",$1bn - 2.49bn
17230,1208933,625489,14688,Albany Bank and Trust Company National Association,"Albany Bank and Trust Company, National Association",Less than $1bn
3931,2067007,2510412,13790,"Alerus Financial, National Association","Alerus Financial, National Association",$2.5bn - 9.9bn
14531,1107205,5846865,14206,Amarillo National Bank,Amarillo National Bank,$2.5bn - 9.9bn
22953,1135972,8092661,16804,"Amerant Bank, National Association","Amerant Bank, National Association",$2.5bn - 9.9bn
34955,1138610,373478,24369,"American Bank and Trust Company, National Association","American Bank and Trust Company, National Association",Less than $1bn
57686,3272947,372671,24456,"American Commerce Bank, National Association","American Commerce Bank, National Association",Less than $1bn
27471,1275216,130004248,25151,American Express National Bank,American Express National Bank,$100bn and above
29140,3802858,627097,702983,American Federal Bank,American Federal Bank,Less than $1bn
34656,3472176,1944494,23521,American First National Bank,American First National Bank,$1bn - 2.49bn
8843,4520953,372426,15037,American Heritage National Bank,American Heritage National Bank,Less than $1bn
22373,2507183,902827,16617,American National Bank & Trust,American National Bank & Trust,Less than $1bn
6837,1076691,2478480,9343,American National Bank and Trust Company,American National Bank and Trust Company,$1bn - 2.49bn
26499,3047172,303568,24219,American National Bank of Minnesota,American National Bank of Minnesota,Less than $1bn
58469,NA,558110,24716,"American Plus Bank, National Association","American Plus Bank, National Association",Less than $1bn
32526,3842957,7385745,708384,"American Savings Bank, FSB","American Savings Bank, FSB",$2.5bn - 9.9bn
57295,3583700,574060,24182,AMG National Trust Bank,AMG National Trust Bank,Less than $1bn
22381,2622116,209847,16625,Anahuac National Bank,Anahuac National Bank,Less than $1bn
3759,1142877,218818,5525,Anna-Jonesboro National Bank,Anna-Jonesboro National Bank,Less than $1bn
29679,NA,160776,703874,Anthem Bank & Trust,Anthem Bank & Trust,Less than $1bn
28780,NA,425798,702349,Arundel Federal Savings Bank,Arundel Federal Savings Bank,Less than $1bn
5296,1199563,33859027,23695,"Associated Bank, National Association","Associated Bank, National Association",$10bn - 99.9bn
35525,3555686,2719322,24425,"Atlantic Capital Bank, National Association","Atlantic Capital Bank, National Association",$2.5bn - 9.9bn
28288,3799369,84620,701305,"Auburn Savings Bank, FSB","Auburn Savings Bank, FSB",Less than $1bn
3276,3035227,1903073,5581,"Austin Bank, Texas National Association","Austin Bank, Texas National Association",$1bn - 2.49bn
31390,3837962,689527,25139,"Axiom Bank, National Association","Axiom Bank, National Association",Less than $1bn
35546,3814310,11543844,716456,Axos Bank,Axos Bank,$10bn - 99.9bn
2987,1141870,630560,3956,Baker Boyer National Bank,Baker Boyer National Bank,Less than $1bn
6959,1048728,623461,1253,Ballston Spa National Bank,Ballston Spa National Bank,Less than $1bn
35498,3153130,7633825,25080,"Banc of California, National Association","Banc of California, National Association",$2.5bn - 9.9bn
4033,2107789,498920,12152,"BancCentral, National Association","BancCentral, National Association",Less than $1bn
29087,5009026,407845,702889,Bank 34,Bank 34,Less than $1bn
3510,1073757,2031940000,13044,"Bank of America, National Association","Bank of America, National Association",$100bn and above
2224,1122310,606879,10844,"Bank of Bridger, National Association","Bank of Bridger, National Association",Less than $1bn
9385,1022063,88987,16976,"Bank of Brookfield-Purdin, National Association","Bank of Brookfield-Purdin, National Association",Less than $1bn
26542,2127022,192655,20415,Bank of Desoto National Association,"Bank of DeSoto, National Association",Less than $1bn
16276,1098581,391438,14510,"Bank of Hillsboro, National Association","Bank of Hillsboro, National Association",Less than $1bn
3178,5193420,175920,4865,"Bank of Houston, National Association","Bank of Houston, National Association",Less than $1bn
57044,NA,852052,24100,"Bank of Southern California, National Association","Bank of Southern California, National Association",Less than $1bn
24211,1398692,74761,17548,"Bank of Whittier, National Association","Bank of Whittier, National Association",Less than $1bn
22434,1249048,241062,16643,"BankChampaign, National Association","BankChampaign, National Association",Less than $1bn
28808,3035928,1448679,25140,"BankFinancial, National Association","BankFinancial, National Association",$1bn - 2.49bn
16418,1134313,758352,713480,Banksouth,BankSouth,Less than $1bn
58979,4028712,33512179,25028,"BankUnited, National Association","BankUnited, National Association",$10bn - 99.9bn
34395,2260406,2803265,23216,"Barrington Bank & Trust Company, National Association","Barrington Bank & Trust Company, National Association",$2.5bn - 9.9bn
25644,1031515,142770,18358,"Beacon Business Bank, National Association","Beacon Business Bank, National Association",Less than $1bn
57701,2260406,1679218,24466,"Beverly Bank & Trust Company, National Association","Beverly Bank & Trust Company, National Association",$1bn - 2.49bn
3320,1918081,167969,8674,"Big Bend Banks, National Association","Big Bend Banks, National Association",Less than $1bn
58723,3636389,306028,24798,"Black Hills Community Bank, National Association","Black Hills Community Bank, National Association",Less than $1bn
35274,1426960,1025492,23903,"Blue Ridge Bank, National Association","Blue Ridge Bank, National Association",$1bn - 2.49bn
16571,1231333,145168865,14583,BMO Harris Bank National Association,BMO Harris Bank National Association,$100bn and above
57197,1248162,1041885,24224,BNC National Bank,BNC National Bank,$1bn - 2.49bn
4214,1883693,46955256,13679,"BOKF, National Association","BOKF, National Association",$10bn - 99.9bn
12923,1121340,13210697,23290,"Bremer Bank, National Association","Bremer Bank, National Association",$10bn - 99.9bn
15797,1106879,3953416,14447,Broadway National Bank,Broadway National Bank,$2.5bn - 9.9bn
10844,1399578,216564,14479,Buena Vista National Bank,Buena Vista National Bank,Less than $1bn
58545,NA,88441,24744,"Business Bank of Texas, National Association","Business Bank of Texas, National Association",Less than $1bn
4999,4882802,17233498,3656,"Cadence Bank, National Association","Cadence Bank, National Association",$10bn - 99.9bn
57974,NA,51569,24577,"California International Bank, A National Banking Association","California International Bank, A National Banking Association",Less than $1bn
35547,4842329,92951,24049,"Canyon Community Bank, National Association","Canyon Community Bank, National Association",Less than $1bn
4297,2277860,339215513,13688,"Capital One, National Association","Capital One, National Association",$100bn and above
27981,4226910,9385483,700670,Capitol Federal Savings Bank,Capitol Federal Savings Bank,$2.5bn - 9.9bn
24199,NA,126151,17525,Capitol National Bank,Capitol National Bank,Less than $1bn
5558,5085972,190487,5737,"CapTex Bank, National Association","Captex Bank, National Association",Less than $1bn
30394,2531245,581718,705273,Carver Federal Savings Bank,Carver Federal Savings Bank,Less than $1bn
6954,1249075,157150,412,Cayuga Lake National Bank,Cayuga Lake National Bank,Less than $1bn
3098,1104567,112402,7524,"Cendera Bank, National Association","Cendera Bank, National Association",Less than $1bn
10976,1246494,187253,20448,Center National Bank,Center National Bank,Less than $1bn
58158,4087894,142173,24617,"CenTrust Bank, National Association","CenTrust Bank, National Association",Less than $1bn
29700,4211831,493983,703912,Century Next Bank,Century Next Bank,Less than $1bn
58595,3597220,930350,24755,"Chain Bridge Bank, National Association","Chain Bridge Bank, National Association",Less than $1bn
7356,1138955,372074,9405,Champlain National Bank,Champlain National Bank,Less than $1bn
28684,3831960,228425,702148,Chesapeake Bank of Maryland,Chesapeake Bank of Maryland,Less than $1bn
7213,1951350,1632405000,1461,"Citibank, N.A.","Citibank, N.A.",$100bn and above
57265,3823929,1504998,25088,Citizens Community Federal National Association,Citizens Community Federal National Association,$1bn - 2.49bn
14779,1103373,218240,14273,Citizens National Bank at Brownwood,Citizens National Bank at Brownwood,Less than $1bn
15760,2473260,316109,14435,Citizens National Bank of Albion,Citizens National Bank of Albion,Less than $1bn
5018,1135422,318492,13522,Citizens National Bank of Cheboygan,Citizens National Bank of Cheboygan,Less than $1bn
3158,1102161,52482,8515,Citizens National Bank of Crosbyton,Citizens National Bank of Crosbyton,Less than $1bn
4549,1140930,519537,12955,Citizens National Bank of Greater St. Louis,Citizens National Bank of Greater St. Louis,Less than $1bn
5574,1105470,1196845,13516,Citizens National Bank of Texas,Citizens National Bank of Texas,$1bn - 2.49bn
26381,2344856,1102378,20184,"Citizens National Bank, National Association","Citizens National Bank, National Association",$1bn - 2.49bn
31184,NA,317478,706503,Citizens Savings Bank,Citizens Savings Bank,Less than $1bn
34352,2697954,360345,22968,"City First Bank of D.C., National Association","City First Bank of D.C., National Association",Less than $1bn
20234,2833891,16241158,15977,City National Bank of Florida,City National Bank of Florida,$10bn - 99.9bn
17735,1076262,5028608,14807,City National Bank of West Virginia,City National Bank of West Virginia,$2.5bn - 9.9bn
1022,1205325,281017,15649,"Clare Bank, National Association","Clare Bank, National Association",Less than $1bn
3126,2762384,415804,13731,"Classic Bank, National Association","Classic Bank, National Association",Less than $1bn
58864,3823817,477398,24861,Coastal Carolina National Bank,Coastal Carolina National Bank,Less than $1bn
31361,4264789,1052372,706809,"Colonial Savings, F.A.","Colonial Savings, F.A.",$1bn - 2.49bn
16246,4625858,234797,713248,Commercial Banking Company,Commercial Banking Company,Less than $1bn
19024,1118818,222467,15257,Commercial National Bank of Texarkana,Commercial National Bank of Texarkana,Less than $1bn
10568,3802540,167498,717428,Community Development Bank FSB,"Community Development Bank, FSB",Less than $1bn
57129,3793125,186300,717528,Community Federal Savings Bank,Community Federal Savings Bank,Less than $1bn
35585,2948517,303491,24080,Community First National Bank,Community First National Bank,Less than $1bn
27046,1247398,1358386,21389,Community National Bank & Trust,Community National Bank & Trust,$1bn - 2.49bn
18185,1104017,786089,14898,Community National Bank & Trust of Texas,Community National Bank & Trust of Texas,Less than $1bn
25161,2015857,116936,18233,Community National Bank of Okarche,Community National Bank of Okarche,Less than $1bn
27572,2626299,925040,21699,"Community West Bank, National Association","Community West Bank, National Association",Less than $1bn
3363,3594890,3425852,12898,"CommunityBank of Texas, National Association","CommunityBank of Texas, National Association",$2.5bn - 9.9bn
34876,2863946,465914,23664,"Connecticut Community Bank, National Association","Connecticut Community Bank, National Association",Less than $1bn
19482,2286228,663244,15543,Consumers National Bank,Consumers National Bank,Less than $1bn
58859,NA,164936,24859,"Cornerstone Bank, National Association","Cornerstone Bank, National Association",Less than $1bn
57061,2929383,684455,24114,Cornerstone National Bank & Trust Company,Cornerstone National Bank & Trust Company,Less than $1bn
35027,3839920,204771,715682,CornerstoneBank,Cornerstone Bank,Less than $1bn
6063,1125740,1206545,23771,Cortrust Bank National Association,CorTrust Bank National Association,$1bn - 2.49bn
14073,3340015,791586,14062,County National Bank,County National Bank,Less than $1bn
24561,1141861,672339,17828,Crockett National Bank,Crockett National Bank,Less than $1bn
34681,2260406,1231350,23574,"Crystal Lake Bank & Trust Company, National Association","Crystal Lake Bank & Trust Company, National Association",$1bn - 2.49bn
30167,4096485,311017,704877,Cullman Savings Bank,Cullman Savings Bank,Less than $1bn
2691,1071463,546737,10254,Cumberland Valley National Bank & Trust Company,Cumberland Valley National Bank & Trust Company,Less than $1bn
15728,2265782,842062,24604,"Dakota Community Bank & Trust, National Association","Dakota Community Bank & Trust, National Association",Less than $1bn
20727,4517298,922548,15980,"Dallas Capital Bank, National Association","Dallas Capital Bank, National Association",Less than $1bn
3977,2359962,82638,12877,DNB National Bank,DNB National Bank,Less than $1bn
57230,3049626,188904,24249,Douglas National Bank,Douglas National Bank,Less than $1bn
32360,NA,315879,708183,"Eastern Savings Bank, FSB","Eastern Savings Bank, FSB",Less than $1bn
29846,NA,382190,704194,Eaton Federal Savings Bank,Eaton Federal Savings Bank,Less than $1bn
34489,2591258,356820,23329,Edison National Bank,Edison National Bank,Less than $1bn
58413,3482054,120821,24679,Embassy National Bank,Embassy National Bank,Less than $1bn
58632,4504533,1000953,24777,Empire National Bank,Empire National Bank,$1bn - 2.49bn
58140,4267427,813644,25125,"Esquire Bank, National Association","Esquire Bank, National Association",Less than $1bn
6947,1401190,1508276,11583,"Evans Bank, National Association","Evans Bank, National Association",$1bn - 2.49bn
28914,NA,491156,702610,Evergreen Federal Bank,Evergreen Federal Bank,Less than $1bn
23404,1129627,116655,17000,Evergreen National Bank,Evergreen National Bank,Less than $1bn
5551,1104923,1541005,13778,"Extraco Banks, National Association","Extraco Banks, National Association",$1bn - 2.49bn
57603,3184219,575174,24373,Falcon National Bank,Falcon National Bank,Less than $1bn
29357,NA,112685,703330,Family Bank,Family Bank,Less than $1bn
35157,3818822,785037,715205,"Farm Bureau Bank, FSB","Farm Bureau Bank, FSB",Less than $1bn
4319,1134069,477422,5629,"FCN Bank, National Association","FCN Bank, National Association",Less than $1bn
30895,3223967,2572856,25188,"Fidelity Bank, National Association","Fidelity Bank, National Association",$2.5bn - 9.9bn
27697,NA,438064,700133,Fifth District Savings Bank,Fifth District Savings Bank,Less than $1bn
58486,3547159,2460325,24719,Finemark National Bank & Trust,FineMark National Bank & Trust,$1bn - 2.49bn
2738,2022444,529283,6769,"First & Farmers National Bank, Inc.","First & Farmers National Bank, Inc.",Less than $1bn
58593,4465559,127319,24758,"First American Bank, National Association","First American Bank, National Association",Less than $1bn
19226,3179877,282471,15386,First American National Bank,First American National Bank,Less than $1bn
16501,1404632,918707,14564,"First Bankers Trust Company, National Association","First Bankers Trust Company, National Association",Less than $1bn
57123,2997739,409245,24169,"First Century Bank, National Association","First Century Bank, National Association",Less than $1bn
3047,3556375,73040,6671,First Colorado National Bank,First Colorado National Bank,Less than $1bn
34415,3823321,812714,713570,First Command Bank,First Command Bank,Less than $1bn
24603,2299992,382485,17862,"First Commercial Bank, National Association","First Commercial Bank, National Association",Less than $1bn
1639,1096037,130126,17694,First Community National Bank,First Community National Bank,Less than $1bn
4028,1404687,1764874,2068,First Dakota National Bank,First Dakota National Bank,$1bn - 2.49bn
29537,NA,342544,703619,First Federal Bank & Trust,First Federal Bank & Trust,Less than $1bn
30441,NA,936820,705339,First Federal Bank of Louisiana,First Federal Bank of Louisiana,Less than $1bn
30422,5426847,278000,705313,First Federal Bank of Wisconsin,First Federal Bank of Wisconsin,Less than $1bn
29787,2506805,455674,25025,"First Federal Community Bank, National Association","First Federal Community Bank, National Association",Less than $1bn
29937,3824476,247637,704381,First Federal Savings Bank of Kentucky,First Federal Savings Bank of Kentucky,Less than $1bn
6354,3609132,531716,10118,"First Hope Bank, A National Banking Association","First Hope Bank, A National Banking Association",Less than $1bn
3705,1206760,3834658,10045,"First Mid Bank & Trust, National Association","First Mid Bank & Trust, National Association",$2.5bn - 9.9bn
29617,4843090,89843,703764,"First Mutual Bank, FSB","First Mutual Bank, FSB",Less than $1bn
4145,1055762,476043,5052,First National Bank & Trust Company of McAlester,First National Bank & Trust Company of McAlester,Less than $1bn
16130,NA,3859319,12072,First National Bank Alaska,First National Bank Alaska,$2.5bn - 9.9bn
3067,1246926,548038,3248,First National Bank Albany/Breckenridge,First National Bank Albany/Breckenridge,Less than $1bn
3902,1131237,147932,8029,First National Bank and Trust Co. of Bottineau,First National Bank and Trust Co. of Bottineau,Less than $1bn
4037,1055726,561815,13677,First National Bank and Trust Company of Ardmore,First National Bank and Trust Company of Ardmore,Less than $1bn
19263,4722056,260922,15407,First National Bank and Trust Company of Weatherford,First National Bank and Trust Company of Weatherford,Less than $1bn
14468,NA,154128,14184,First National Bank at Darlington,First National Bank at Darlington,Less than $1bn
4638,1051625,105601,13329,First National Bank in Cimarron,The First National Bank in Cimarron,Less than $1bn
14427,NA,307952,14168,First National Bank in DeRidder,First National Bank in DeRidder,Less than $1bn
4668,1064595,48192,11916,First National Bank in Frankfort,First National Bank in Frankfort,Less than $1bn
14370,1398795,429946,14144,First National Bank in Howell,First National Bank in Howell,Less than $1bn
14836,NA,308775,14294,First National Bank in New Bremen,First National Bank in New Bremen,Less than $1bn
5460,1052846,131191,13557,First National Bank in Ord,First National Bank in Ord,Less than $1bn
3999,1125683,276838,10637,First National Bank in Philip,First National Bank in Philip,Less than $1bn
13813,1099579,102272,13975,First National Bank in Pinckneyville,First National Bank in Pinckneyville,Less than $1bn
17811,2755153,338990,14821,First National Bank in Port Lavaca,First National Bank in Port Lavaca,Less than $1bn
17572,1133585,195777,14769,First National Bank in Taylorville,First National Bank in Taylorville,Less than $1bn
5247,1128460,223654,1794,First National Bank Minnesota,First National Bank Minnesota,Less than $1bn
25122,1246784,177052,18214,First National Bank Northwest Florida,First National Bank Northwest Florida,Less than $1bn
18282,2184043,154706,14905,First National Bank of Alvin,First National Bank of Alvin,Less than $1bn
17438,1206313,2651213,14740,First National Bank of America,First National Bank of America,$2.5bn - 9.9bn
3075,1108323,186665,7337,First National Bank of Anderson,First National Bank of Anderson,Less than $1bn
3607,1839177,133624,3640,First National Bank of Beardstown,The First National Bank of Beardstown,Less than $1bn
5564,1104110,123279,13675,First National Bank of Bosque County,First National Bank of Bosque County,Less than $1bn
18564,NA,230884,14993,First National Bank of Brookfield,First National Bank of Brookfield,Less than $1bn
23430,1130191,197352,17001,First National Bank of Burleson,First National Bank of Burleson,Less than $1bn
3325,4577984,888987,5850,First National Bank of Central Texas,First National Bank of Central Texas,Less than $1bn
16859,1055696,128782,14637,First National Bank of Chadron,First National Bank of Chadron,Less than $1bn
19070,1097100,369590,15284,First National Bank of Clarksdale,First National Bank of Clarksdale,Less than $1bn
33506,3069633,245213,22327,First National Bank of Coffee County,First National Bank of Coffee County,Less than $1bn
57694,3232361,180380,24458,First National Bank of Decatur County,First National Bank of Decatur County,Less than $1bn
26228,1246953,95318,20026,First National Bank of Dublin,First National Bank of Dublin,Less than $1bn
3863,1099449,454652,13637,First National Bank of Eastern Arkansas,First National Bank of Eastern Arkansas,Less than $1bn
17913,3668223,131640,14842,First National Bank of Fort Stockton,First National Bank of Fort Stockton,Less than $1bn
3217,1110193,230693,4410,First National Bank of Giddings,First National Bank of Giddings,Less than $1bn
18880,1057908,559659,15158,First National Bank of Gillette,First National Bank of Gillette,Less than $1bn
169,NA,291757,15572,First National Bank of Griffin,First National Bank of Griffin,Less than $1bn
34918,2759601,170460,23692,First National Bank of Hereford,First National Bank of Hereford,Less than $1bn
3269,3018958,483536,4208,First National Bank of Huntsville,First National Bank of Huntsville,Less than $1bn
2735,2744849,122449,2592,First National Bank of Kentucky,First National Bank of Kentucky,Less than $1bn
3034,1064027,395750,6030,First National Bank of Las Animas,The First National Bank of Las Animas,Less than $1bn
4288,2227182,416967,12523,First National Bank of Louisiana,First National Bank of Louisiana,Less than $1bn
3330,4619437,533934,4076,First National Bank of McGregor,The First National Bank of McGregor d/b/a TFNB Your Bank for Life,Less than $1bn
58259,3404458,634514,24637,First National Bank of Michigan,First National Bank of Michigan,Less than $1bn
961,1245385,311345,15579,First National Bank of Muscatine,First National Bank of Muscatine,Less than $1bn
15763,1248809,155408,14436,First National Bank of Nokomis,First National Bank of Nokomis,Less than $1bn
3854,2027412,214214,10406,First National Bank of North Arkansas,First National Bank of North Arkansas,Less than $1bn
4211,1058343,579737,11397,First National Bank of Oklahoma,First National Bank of Oklahoma,Less than $1bn
5452,1066209,22265188,209,First National Bank of Omaha,First National Bank of Omaha,$10bn - 99.9bn
3720,NA,194094,13478,First National Bank of Pana,First National Bank of Pana,Less than $1bn
26829,2552400,191567,20976,First National Bank of Pasco,First National Bank of Pasco,Less than $1bn
7888,3005332,35014804,249,First National Bank of Pennsylvania,First National Bank of Pennsylvania,$10bn - 99.9bn
16612,1083318,208331,14592,First National Bank of Picayune,First National Bank of Picayune,Less than $1bn
15572,1082393,919118,14619,First National Bank of Pulaski,First National Bank of Pulaski,Less than $1bn
5364,2577159,286220,7087,First National Bank of River Falls,The First National Bank of River Falls,Less than $1bn
11501,3471889,492184,14680,First National Bank of Scotia,First National Bank of Scotia,Less than $1bn
2107,1143230,207010,10680,First National Bank of South Carolina,First National Bank of South Carolina,Less than $1bn
24902,2524210,57945,18063,First National Bank of South Padre Island,First National Bank of South Padre Island,Less than $1bn
1049,1099627,215967,14437,First National Bank of Steeleville,First National Bank of Steeleville,Less than $1bn
19502,NA,890997,15550,First National Bank of Tennessee,First National Bank of Tennessee,Less than $1bn
18136,2376558,76156,14882,First National Bank of Wauchula,First National Bank of Wauchula,Less than $1bn
5590,1102170,134485,5674,First National Bank of Winnsboro,First National Bank of Winnsboro,Less than $1bn
3285,1108097,2318660,5750,First National Bank Texas,First National Bank Texas,$1bn - 2.49bn
22046,1140190,136073,16473,First National Bank USA,First National Bank USA,Less than $1bn
1545,1202258,951946,10408,"First National Bank, Ames, Iowa","First National Bank Ames, Iowa",Less than $1bn
17872,NA,105615,14833,"First National Bank, Cortez","First National Bank, Cortez",Less than $1bn
3747,2558505,474213,13682,"First Neighbor Bank, National Association","First Neighbor Bank, National Association",Less than $1bn
3063,1062528,189894,8752,First Pioneer National Bank,First Pioneer National Bank,Less than $1bn
28105,2558194,344197,23393,"First Robinson Savings Bank, National Association","First Robinson Savings Bank, National Association",Less than $1bn
32629,4264387,878649,708547,First Savings Bank,First Savings Bank,Less than $1bn
29744,5371479,412609,703997,First Seacoast Bank,First Seacoast Bank,Less than $1bn
2700,1247987,907584,1493,First Southern National Bank,First Southern National Bank,Less than $1bn
13905,1141227,187752,14005,First Texoma National Bank,First Texoma National Bank,Less than $1bn
7886,2687601,264302,9480,First United National Bank,First United National Bank,Less than $1bn
31972,NA,60934,707674,First Western Federal Savings Bank,First Western Federal Savings Bank,Less than $1bn
35028,3121344,1729186,23681,"FirstCapital Bank of Texas, National Association","FirstCapital Bank of Texas, National Association",$1bn - 2.49bn
13599,1995998,294606,13934,First-Lockhart National Bank,First-Lockhart National Bank,Less than $1bn
32541,4224000,26767684,708412,"Flagstar Bank, FSB","Flagstar Bank, FSB",$10bn - 99.9bn
26323,3223828,522252,20214,"Florida Capital Bank, National Association","Florida Capital Bank, National Association",Less than $1bn
57415,3446346,1250131,24349,"Forcht Bank, National Association","Forcht Bank, National Association",$1bn - 2.49bn
15945,1203853,247059,14566,Forest Park National Bank and Trust Company,Forest Park National Bank and Trust Company,Less than $1bn
29188,NA,361000,703069,Fox Valley Savings Bank,Fox Valley Savings Bank,Less than $1bn
57254,1985131,126285,24257,Freedom National Bank,Freedom National Bank,Less than $1bn
7551,1117129,22780649,24891,"Fulton Bank, National Association","Fulton Bank, National Association",$10bn - 99.9bn
27774,NA,2488904,700257,Gate City Bank,Gate City Bank,$1bn - 2.49bn
16040,2912442,349599,718024,Generations Bank,Generations Bank,Less than $1bn
7074,1048812,2639917,7699,Glens Falls National Bank and Trust Company,Glens Falls National Bank and Trust Company,$2.5bn - 9.9bn
26223,NA,1071625,18558,"Golden Bank, National Association","Golden Bank, National Association",$1bn - 2.49bn
28735,3835230,239913,702253,"Golden Belt Bank, FSA","Golden Belt Bank, FSA",Less than $1bn
